SITE_CODE,MSMT_DATE,RPE,GSE,RPE_WSE,WSE,GSE_WSE,WLM_QA_DESC,SUBMITTING_ORG_NAME,COLLECTING_ORG_NAME,MSMT_CMT
346182N1201206W001,03/15/1985 10:31:00,560.61,565.31,25.07,535.54,29.77,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1986 10:16:00,560.61,565.31,24.66,535.95,29.36,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1987 10:31:00,560.61,565.31,28.03,532.58,32.73,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1988 10:00:00,560.61,565.31,28.96,531.65,33.66,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1989 10:31:00,560.61,565.31,29.27,531.34,33.97,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1990 10:31:00,560.61,565.31,31.16,529.45,35.86,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1991 10:31:00,560.61,565.31,29.5,531.11,34.2,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1992 10:31:00,560.61,565.31,28.48,532.13,33.18,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1993 10:31:00,560.61,565.31,27.49,533.12,32.19,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,05/15/1994 10:31:00,560.61,565.31,30.1,530.51,34.8,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1995 10:31:00,560.61,565.31,26.13,534.48,30.83,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1996 10:46:00,560.61,565.31,27.42,533.19,32.12,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1997 09:15:00,560.61,565.31,28.37,532.24,33.07,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1998 10:31:00,560.61,565.31,26.28,534.33,30.98,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1999 09:45:00,560.61,565.31,27.94,532.67,32.64,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2000 10:16:00,560.61,565.31,26.69,533.92,31.39,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2001 10:31:00,560.61,565.31,25.67,534.94,30.37,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2002 09:45:00,560.61,565.31,26.18,534.43,30.88,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2003 10:31:00,560.61,565.31,29.17,531.44,33.87,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2004 10:46:00,560.61,565.31,32.44,528.17,37.14,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2005 09:45:00,560.61,565.31,30.25,530.36,34.95,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2006 09:45:00,560.61,565.31,30.72,529.89,35.42,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2007 10:31:00,560.61,565.31,31.09,529.52,35.79,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2008 10:31:00,560.61,565.31,31.94,528.67,36.64,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2009 10:31:00,560.61,565.31,33.46,527.15,38.16,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2010 10:31:00,560.61,565.31,34.09,526.52,38.79,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2010 10:46:00,560.61,565.31,33.15,527.46,37.85,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2012 10:46:00,560.61,565.31,35.1,525.51,39.8,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2013 10:31:00,560.61,565.31,36.28,524.33,40.98,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2014 10:46:00,560.61,565.31,38.2,522.41,42.9,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2015 10:46:00,560.61,565.31,40.4,520.21,45.1,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2016 11:01:00,560.61,565.31,45.35,515.26,50.05,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2017 10:46:00,560.61,565.31,43.19,517.42,47.89,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/2018 08:45:00,560.61,565.31,46.78,513.83,51.48,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,03/11/2019 08:00:00,560.61,565.31,48.48,512.13,53.18,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,04/10/2020 08:00:00,560.61,565.31,50.73,509.88,55.43,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,10/21/2020 08:00:00,560.61,565.31,59.23,501.38,63.93,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,03/08/2021 08:00:00,560.61,565.31,59.34,501.27,64.04,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,10/13/2021 08:00:00,560.61,565.31,68.4,492.21,73.1,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,03/09/2022 11:30:00,560.61,565.31,66.93,493.68,71.63,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,10/04/2022 10:10:00,560.61,565.31,71.57,489.04,76.27,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
346182N1201206W001,03/07/2023 15:10:00,560.61,565.31,56.93,503.68,61.63,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by Santa Barbara County
